#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.000125893  487.698  5.11966e-08  3.57545e-08  -5.40475e-08  -1.66713e-07  8.32496e-08  6.8472e-08  1.14511e-07  9.68284e-08  2.12508e-07  1.26659e-07  2.85069e-08  1.76987e-06  -2.05734e-09  1.79156e-07  -5.71069e-09  5.4974e-09  -69088.3  -125731  342013  -447594  -80177.1  -2.0065e+06  -5.86869e-05  -3.91786e-05  -3477.73  -1545.66  -2318.49  -0.000528925  -0.000352502  -0.000363623  -0.000242607  -8.4426  -5.62708  -0.0144423  -0.0546111  1.447e-07
0.000128825  498.765  5.66727e-08  3.95743e-08  -5.98442e-08  -1.81931e-07  9.16926e-08  7.57661e-08  1.26671e-07  1.07627e-07  2.3524e-07  1.40201e-07  3.08622e-08  1.95841e-06  -2.34855e-09  1.97419e-07  -6.36584e-09  6.34597e-09  297059  143085  -454990  535972  94830.5  1.25457e+06  -6.41572e-05  -4.28313e-05  -3476.62  -1545.17  -2317.75  -0.000578239  -0.000385366  -0.000386415  -0.000257823  -9.18445  -6.12153  -0.0143035  -0.0585681  1.56814e-07
0.000131826  509.876  6.27197e-08  4.37919e-08  -6.62471e-08  -1.98458e-07  1.00967e-07  8.38165e-08  1.40086e-07  1.19599e-07  2.60343e-07  1.55155e-07  3.33907e-08  2.1665e-06  -2.68096e-09  2.17488e-07  -7.0933e-09  7.32888e-09  -232495  -171308  364674  -293253  -164786  -1.33202e+06  -7.00974e-05  -4.67979e-05  -3475.42  -1544.63  -2316.95  -0.00063179  -0.000421053  -0.000409985  -0.00027356  -9.98451  -6.65477  -0.0140083  -0.0627507  1.69894e-07
0.000134896  521.057  6.93957e-08  4.84477e-08  -7.33178e-08  -2.16401e-07  1.11153e-07  9.26994e-08  1.54881e-07  1.32867e-07  2.88057e-07  1.71665e-07  3.6103e-08  2.39609e-06  -3.06093e-09  2.39537e-07  -7.90051e-09  8.46788e-09  -610183  -488991  1.31379e+06  -853066  -309927  -3.67722e+06  -7.65436e-05  -5.11024e-05  -3474.12  -1544.06  -2316.08  -0.000689904  -0.000459781  -0.000434267  -0.000289774  -10.8466  -7.22935  -0.013552  -0.0671789  1.84016e-07
0.000138038  532.336  7.67645e-08  5.35861e-08  -8.11243e-08  -2.35876e-07  1.22337e-07  1.02499e-07  1.71194e-07  1.47568e-07  3.18647e-07  1.89888e-07  3.90113e-08  2.64934e-06  -3.49491e-09  2.63758e-07  -8.7956e-09  9.78834e-09  -32793.2  29996.6  -65182.7  -26442.2  -22963.5  -46543.3  -8.35342e-05  -5.57706e-05  -3472.73  -1543.44  -2315.16  -0.000752928  -0.000501781  -0.000459203  -0.000306427  -11.7748  -7.84797  -0.0128951  -0.0718509  1.99256e-07
0.000141254  543.732  8.48962e-08  5.92559e-08  -8.9741e-08  -2.57008e-07  1.34616e-07  1.13306e-07  1.89176e-07  1.6385e-07  3.52405e-07  2.09998e-07  4.21276e-08  2.92863e-06  -3.99078e-09  2.90359e-07  -9.78737e-09  1.13198e-08  -585883  -465660  1.12478e+06  -715974  -243301  -3.14025e+06  -9.11103e-05  -6.08299e-05  -3471.23  -1542.77  -2314.16  -0.000821232  -0.000547299  -0.0004847  -0.000323457  -12.7732  -8.51342  -0.0120327  -0.0767894  2.15697e-07
0.000144544  555.271  9.38678e-08  6.55107e-08  -9.925e-08  -2.79933e-07  1.48095e-07  1.25223e-07  2.08993e-07  1.8188e-07  3.8965e-07  2.32187e-07  4.54651e-08  3.23655e-06  -4.55723e-09  3.19568e-07  -1.08854e-08  1.30966e-08  624444  433101  -1.20749e+06  910665  270722  3.52835e+06  -9.93153e-05  -6.63095e-05  -3469.62  -1542.06  -2313.09  -0.00089521  -0.000596598  -0.000510666  -0.000340803  -13.8463  -9.22863  -0.0109353  -0.0820018  2.33429e-07
0.000147911  566.977  1.03764e-07  7.24094e-08  -1.09741e-07  -3.04795e-07  1.62887e-07  1.3836e-07  2.30826e-07  2.0184e-07  4.30734e-07  2.56663e-07  4.90375e-08  3.57596e-06  -5.20472e-09  3.51635e-07  -1.20999e-08  1.51591e-08  204555  126653  -335445  86221.8  86209.1  841638  -0.000108196  -7.22402e-05  -3467.89  -1541.29  -2311.93  -0.00097528  -0.000649956  -0.000536974  -0.000358381  -14.9987  -9.99668  -0.00954677  -0.0874793  2.52547e-07
0.000151356  578.871  1.14678e-07  8.0017e-08  -1.21314e-07  -3.31755e-07  1.7912e-07  1.52839e-07  2.54875e-07  2.23928e-07  4.76043e-07  2.83657e-07  5.28597e-08  3.94998e-06  -5.94444e-09  3.86834e-07  -1.34421e-08  1.7554e-08  -210177  -159790  444572  -337893  -98514.4  -1.38494e+06  -0.000117801  -7.86551e-05  -3466.04  -1540.47  -2310.7  -0.00106188  -0.000707668  -0.000563493  -0.000376104  -16.2351  -10.8207  -0.00786131  -0.0932481  2.73151e-07
0.000154882  590.98  1.26712e-07  8.84047e-08  -1.34076e-07  -3.60983e-07  1.96931e-07  1.68793e-07  2.81358e-07  2.48367e-07  5.26002e-07  3.13425e-07  5.69473e-08  4.36206e-06  -6.78996e-09  4.25463e-07  -1.49238e-08  2.0336e-08  -532449  -413924  1.00832e+06  -730982  -247720  -3.04783e+06  -0.000128182  -8.5589e-05  -3464.05  -1539.58  -2309.37  -0.0011555  -0.00077005  -0.00059006  -0.000393863  -17.5605  -11.7041  -0.00585114  -0.0993212  2.95351e-07
