# k    pksmooth
0.044586 15364.6
0.045486 15094.1
0.046405 14823.7
0.047343 14553.6
0.048299 14284.5
0.049275 14015.9
0.05027 13748.6
0.051286 13482.2
0.052322 13217.2
0.053379 12953.6
0.054457 12691.8
0.055557 12431.6
0.05668 12173.2
0.057825 11916.9
0.058993 11662.7
0.060184 11411
0.0614 11161.4
0.062641 10914.1
0.063906 10669.7
0.065197 10427.8
0.066514 10188.7
0.067858 9952.35
0.069229 9718.93
0.070627 9488.61
0.072054 9261.21
0.07351 9036.89
0.074994 8815.95
0.076509 8598.08
0.078055 8383.41
0.079632 8172.08
0.081241 7964.07
0.082882 7759.5
0.084556 7558.35
0.086264 7360.59
0.088007 7166.22
0.089785 6975.34
0.091598 6788.02
0.093449 6604.03
0.095337 6423.56
0.097263 6246.58
0.099227 6073.15
0.10123 5903.25
0.10328 5736.27
0.10536 5573.63
0.10749 5413.81
0.10966 5257.61
0.11188 5104.38
0.11414 4954.85
0.11644 4809.01
0.1188 4665.65
0.1212 4526.03
0.12365 4389.59
0.12614 4256.85
0.12869 4126.78
0.13129 3999.93
0.13394 3876.3
0.13665 3755.44
0.13941 3637.81
0.14223 3522.99
0.1451 3411.38
0.14803 3302.58
0.15102 3196.59
0.15407 3093.42
0.15718 2993.04
0.16036 2895.15
0.1636 2800.05
0.1669 2707.71
0.17028 2617.58
0.17371 2530.43
0.17722 2445.47
0.1808 2362.96
0.18446 2282.64
0.18818 2204.94
0.19198 2129.41
0.19586 2056.04
0.19982 1984.82
0.20386 1915.72
0.20797 1848.89
0.21218 1783.83
0.21646 1720.98
0.22083 1660.01
0.2253 1600.77
0.22985 1543.51
0.23449 1488.08
0.23923 1434.32
0.24406 1382.34
0.24899 1332
0.25402 1283.28
0.25915 1236.16
0.26439 1190.52
0.26973 1146.43
0.27518 1103.78
0.28074 1062.55
0.28641 1022.72
0.29219 984.25
0.2981 947.003
0.30412 911.081
0.31026 876.395
0.31653 842.872
0.32292 810.541
0.32945 779.283
0.3361 749.171
0.34289 720.093
0.34982 692.03
0.35689 664.964
0.36409 638.91
0.37145 613.739
0.37895 589.504
0.38661 566.119
0.39442 543.599
0.40239 521.896
0.41052 500.992
0.41881 480.87
0.42727 461.486
0.4359 442.826
0.44471 424.851
0.45369 407.566
0.46286 390.917
0.47221 374.908
0.48174 359.521
0.49148 344.694
0.50141 330.446
0.51153 316.76
0.52187 303.583
0.53241 290.927
0.54317 278.757
0.55414 267.07
0.56533 255.843
0.57675 245.054
0.5884 234.692
0.60029 224.738
0.61242 215.18
0.62479 206.008
0.63741 197.204
0.65029 188.75
0.66342 180.645
0.67683 172.859
0.6905 165.396
0.70445 158.235
0.71868 151.369
0.7332 144.783
0.74801 138.47
0.76312 132.418
0.77854 126.615
0.79426 121.057
0.81031 115.727
0.82668 110.622
0.84338 105.731
0.86041 101.048
0.8778 96.5583
0.89553 92.2619
0.91362 88.1474
0.93208 84.2073
0.95091 80.4361
0.97011 76.8284
0.98971 73.3734
1.0097 70.0681
1.0301 66.9047
1.0509 63.8799
1.0721 60.9891
1.0938 58.2149
1.1159 55.5665
1.1384 53.0391
1.1614 50.6175
1.1849 48.299
1.2088 46.0896
1.2333 43.9677
1.2582 41.9476
1.2836 40.0174
1.3095 38.1737
1.336 36.4072
1.363 34.7219
1.3905 33.1146
1.4186 31.5769
1.4472 30.1118
1.4765 28.7068
1.5063 27.3694
1.5367 26.0925
1.5678 24.8701
1.5994 23.708
1.6318 22.5931
1.6647 21.5341
1.6984 20.5194
1.7327 19.5534
1.7677 18.6315
1.8034 17.7521
1.8398 16.9136
1.877 16.1124
1.9149 15.3491
1.9536 14.6205
1.993 13.9271
2.0333 13.264
2.0744 12.6321
2.1163 12.0299
2.159 11.4565
2.2026 10.9093
2.2471 10.3874
2.2925 9.88995
2.3388 9.41598
2.3861 8.96366
2.4343 8.53311
2.4835 8.1226
2.5336 7.73216
2.5848 7.35949
2.637 7.00466
2.6903 6.66633
2.7447 6.3439
2.8001 6.03731
2.8567 5.74486
2.9144 5.46653
2.9733 5.20128
3.0333 4.94905
3.0946 4.7085
3.1571 4.47957
3.2209 4.26146
3.286 4.05376
3.3523 3.85635
3.4201 3.66795
3.4892 3.48879
3.5596 3.31846
3.6316 3.15592
3.7049 3.00153
3.7798 2.85435
3.8561 2.71448
3.934 2.58125
4.0135 2.45442
4.0946 2.33374
4.1773 2.21895
4.2617 2.10969
4.3478 2.00573
4.4356 1.90686
4.5252 1.81276
4.6166 1.72325
4.7099 1.63804
4.805 1.55706
4.9021 1.47996
5.0011 1.40666
5.1021 1.33695
5.2052 1.2706
5.3104 1.20748
5.4176 1.14752
5.5271 1.09043
5.6387 1.03619
5.7526 0.98459
5.8689 0.93548
5.9874 0.888842
6.1084 0.844458
6.2318 0.802272
6.3577 0.762162
6.4861 0.72404
6.6171 0.687795
6.7508 0.653325
6.8872 0.620557
7.0263 0.589422
7.1682 0.559827
7.313 0.531691
7.4608 0.504934
7.6115 0.479519
7.7653 0.455356
7.9221 0.432408
8.0822 0.410582
8.2454 0.389858
8.412 0.370153
8.5819 0.351437
8.7553 0.333646
8.9322 0.316743
9.1126 0.30069
9.2967 0.285434
9.4845 0.270943
9.6761 0.257176
9.8716 0.244097
10.071 0.231676
10.274 0.219902
10.482 0.208671
10.694 0.198015
10.91 0.187908
11.13 0.178326
11.355 0.169203
11.584 0.16056
11.818 0.152339
12.057 0.144525
12.301 0.137101
12.549 0.130079
12.803 0.123387
13.061 0.117061
13.325 0.111037
13.594 0.105326
13.869 0.099894
14.149 0.0947486
14.435 0.0898591
14.727 0.0852154
15.024 0.0808215
15.328 0.0766381
15.637 0.0726827
15.953 0.0689202
16.275 0.0653543
16.604 0.0619658
16.94 0.0587477
17.282 0.0557018
17.631 0.0528113
17.987 0.0500695
18.351 0.047463
18.721 0.0449996
19.099 0.0426596
19.485 0.040438
19.879 0.0383299
20.28 0.0363354
20.69 0.0344397
21.108 0.0326432
21.535 0.0309376
21.97 0.0293226
22.413 0.0277938
22.866 0.0263409
23.328 0.0249638
23.799 0.0236591
24.28 0.0224209
24.771 0.0212464
25.271 0.0201351
25.782 0.0190797
26.302 0.0180819
26.834 0.0171333
27.376 0.0162354
27.929 0.0153843
28.493 0.0145779
29.069 0.0138127
29.656 0.0130883
30.255 0.0124016
30.866 0.0117509
31.49 0.0111336
32.126 0.0105491
32.775 0.00999512
33.437 0.00947021
34.112 0.00897305
34.801 0.00850166
35.504 0.00805492
36.222 0.00763114
36.953 0.0072304
37.7 0.00685003
38.462 0.00648967
39.239 0.00614839
40.031 0.00582527
40.84 0.00551872
41.665 0.00522838
42.507 0.00495315
43.365 0.00469266
44.241 0.00444564
45.135 0.00421149
46.047 0.00398964
46.977 0.00377951
47.926 0.00358035
48.894 0.00339166
49.882 0.00321278
50.89 0.00304326
51.918 0.00288269
52.966 0.00273062
54.036 0.0025864
55.128 0.00244967
56.242 0.00232011
57.378 0.00219738
58.537 0.00208106
59.72 0.00197076
60.926 0.0018663
62.157 0.00176724
63.412 0.00167342
64.693 0.00158444
66 0.0015001
67.334 0.00142012
68.694 0.00134436
70.082 0.00127252
71.497 0.00120447
72.942 0.00113991
74.415 0.00107875
75.918 0.00102076
77.452 0.000965768
79.017 0.000913636
80.613 0.000864235
82.241 0.00081741
83.903 0.00077299
85.598 0.000730895
87.327 0.000690995
89.091 0.00065317
90.891 0.000617305
92.727 0.000583315
94.6 0.000551097
96.511 0.000520555
98.461 0.0004916
100.45 0.000464163
