#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.00156675  5983.03  0.00202835  0.00139885  -0.00220324  -0.00291376  0.00265845  0.00234715  0.00331905  0.00441176  0.00842815  0.00512126  0.000451476  0.0579841  -0.00109912  0.00531908  6.74213e-05  0.00497277  -4.44412  -6.72647  -23.7595  -1.92165  -10.5293  -14.5711  -0.0701558  -0.0489738  -1912.76  -852.842  -1277.23  -0.658258  -0.435519  0.489567  0.318653  -1741.77  -1159.53  23.8033  -2.98539  0.000204076
0.00162181  6171.97  0.00232718  0.00160452  -0.00252931  -0.00334071  0.00305042  0.00268092  0.00376742  0.00506083  0.00967004  0.00587987  0.000528998  0.0661156  -0.0012967  0.00608284  8.43065e-05  0.0058809  0.0918662  -5.94356  -31.384  4.33986  -9.09031  -9.85423  -0.0750526  -0.0525644  -1854.78  -827.269  -1238.73  -0.706202  -0.467034  0.528902  0.343777  -1780.41  -1185.18  24.2276  -3.52387  0.000220679
0.0016788  6365.95  0.00266991  0.00184035  -0.00290346  -0.00383012  0.00350003  0.0030617  0.00427473  0.00580505  0.0110944  0.00675073  0.000619867  0.075371  -0.00152952  0.00695535  0.000104877  0.00695395  -2.28069  -6.55935  -25.6491  2.14597  -9.85053  -17.2219  -0.0802578  -0.0564087  -1798.65  -802.535  -1201.47  -0.757477  -0.50071  0.570319  0.370132  -1817.82  -1209.99  24.4055  -4.25073  0.000238534
0.0017378  6565.32  0.00306297  0.00211077  -0.00333272  -0.00439103  0.00401575  0.00349604  0.00484847  0.00665833  0.012728  0.00775043  0.000726363  0.0859025  -0.00180381  0.00795194  0.000129889  0.00822165  -4.58199  -7.63482  -19.402  -0.780195  -11.3263  -30.4267  -0.0857915  -0.0605271  -1742.94  -778  -1164.5  -0.812342  -0.536713  0.613978  0.397806  -1854.95  -1234.6  24.6942  -4.93256  0.000257761
0.00179887  6770.47  0.00351374  0.00242083  -0.00382519  -0.00503378  0.00460723  0.0039914  0.005497  0.00763659  0.0146014  0.00889801  0.000851147  0.097883  -0.00212689  0.00909003  0.000160251  0.00971905  -1.55871  -5.4974  -28.0041  2.06999  -9.95738  -11.4844  -0.0916744  -0.0649414  -1686.36  -753.1  -1126.97  -0.871073  -0.575219  0.660313  0.427062  -1892.65  -1259.59  25.3574  -5.3981  0.000278487
0.00186209  6980.87  0.00403063  0.00277632  -0.00439009  -0.00577017  0.00528554  0.00455623  0.00622969  0.00875804  0.0167497  0.0102153  0.000997324  0.111508  -0.00250734  0.0103895  0.000197048  0.0114875  -1.65747  -5.52144  -28.5552  3.44711  -9.93947  -12.4713  -0.0979261  -0.0696742  -1628.28  -727.543  -1088.44  -0.933952  -0.616405  0.709938  0.458283  -1931.36  -1285.24  26.5547  -5.54384  0.000300843
0.00192752  7196.82  0.00462331  0.00318388  -0.005038  -0.00661367  0.00606335  0.00520017  0.007057  0.0100436  0.019213  0.0117274  0.00116853  0.126998  -0.00295525  0.0118728  0.000241582  0.0135755  -5.84492  -9.01157  -20.691  -2.23915  -11.8786  -37.4727  -0.104565  -0.0747479  -1568.88  -701.422  -1049.06  -1.00126  -0.660447  0.763531  0.491889  -1970.95  -1311.46  28.2862  -5.37053  0.000324946
0.00199526  7418.46  0.00530284  0.00365112  -0.00578104  -0.00757972  0.00695517  0.00593416  0.00799063  0.011517  0.0220372  0.013463  0.001369  0.144603  -0.00348246  0.0135657  0.000295412  0.0160405  -4.31459  -7.30384  -22.7997  -0.667399  -11.0323  -27.2018  -0.111607  -0.0801857  -1509.24  -675.214  -1009.53  -1.07327  -0.707521  0.821704  0.528251  -2010.7  -1337.78  30.3957  -4.98071  0.000350906
0.00206538  7646.21  0.00608189  0.00418674  -0.00663306  -0.00868599  0.00797763  0.00677063  0.00904363  0.0132057  0.0252752  0.015455  0.00160373  0.164605  -0.00410284  0.0154973  0.000360401  0.0189499  -2.68747  -6.38576  -25.742  1.29088  -10.4332  -21.3181  -0.119067  -0.0860114  -1450.95  -649.624  -970.91  -1.15027  -0.757803  0.88481  0.567564  -2049.55  -1363.49  32.4845  -4.63727  0.000378818
0.00213796  7879.23  0.00697496  0.0048007  -0.0076099  -0.00995272  0.00914977  0.00772371  0.0102305  0.015141  0.028987  0.0177413  0.00187854  0.187324  -0.00483266  0.017701  0.000438776  0.0223831  -3.934  -7.57007  -22.9609  -0.374672  -10.8635  -25.9493  -0.126962  -0.092251  -1395.38  -625.264  -934.12  -1.23257  -0.811484  0.952815  0.609761  -2086.59  -1387.97  34.1226  -4.6242  0.000408785
